check_id,path,start_line,end_line,message
php.lang.security.injection.echoed-request.echoed-request,gnuboard-repo/adm/browscap_convert.php,36,36,`Echo`ing user input risks cross-site scripting vulnerability. You should use `htmlentities()` when showing data to users.
php.lang.security.taint-unsafe-echo-tag.taint-unsafe-echo-tag,gnuboard-repo/adm/browscap_convert.php,36,36,"Found direct access to a PHP variable wihout HTML escaping inside an inline PHP statement setting data from `$_REQUEST[...]`. When untrusted input can be used to tamper with a web page rendering, it can lead to a Cross-site scripting (XSS) vulnerability. XSS vulnerabilities occur when untrusted input executes malicious JavaScript code, leading to issues such as account compromise and sensitive information leakage. To prevent this vulnerability, validate the user input, perform contextual output encoding or sanitize the input. In PHP you can encode or sanitize user input with `htmlspecialchars` or use automatic context-aware escaping with a template engine such as Latte."
php.lang.security.injection.echoed-request.echoed-request,gnuboard-repo/adm/contentform.php,99,99,`Echo`ing user input risks cross-site scripting vulnerability. You should use `htmlentities()` when showing data to users.
php.lang.security.taint-unsafe-echo-tag.taint-unsafe-echo-tag,gnuboard-repo/adm/contentform.php,99,99,"Found direct access to a PHP variable wihout HTML escaping inside an inline PHP statement setting data from `$_REQUEST[...]`. When untrusted input can be used to tamper with a web page rendering, it can lead to a Cross-site scripting (XSS) vulnerability. XSS vulnerabilities occur when untrusted input executes malicious JavaScript code, leading to issues such as account compromise and sensitive information leakage. To prevent this vulnerability, validate the user input, perform contextual output encoding or sanitize the input. In PHP you can encode or sanitize user input with `htmlspecialchars` or use automatic context-aware escaping with a template engine such as Latte."
php.lang.security.injection.echoed-request.echoed-request,gnuboard-repo/adm/contentform.php,100,100,`Echo`ing user input risks cross-site scripting vulnerability. You should use `htmlentities()` when showing data to users.
php.lang.security.taint-unsafe-echo-tag.taint-unsafe-echo-tag,gnuboard-repo/adm/contentform.php,100,100,"Found direct access to a PHP variable wihout HTML escaping inside an inline PHP statement setting data from `$_REQUEST[...]`. When untrusted input can be used to tamper with a web page rendering, it can lead to a Cross-site scripting (XSS) vulnerability. XSS vulnerabilities occur when untrusted input executes malicious JavaScript code, leading to issues such as account compromise and sensitive information leakage. To prevent this vulnerability, validate the user input, perform contextual output encoding or sanitize the input. In PHP you can encode or sanitize user input with `htmlspecialchars` or use automatic context-aware escaping with a template engine such as Latte."
php.lang.security.injection.echoed-request.echoed-request,gnuboard-repo/adm/contentform.php,105,105,`Echo`ing user input risks cross-site scripting vulnerability. You should use `htmlentities()` when showing data to users.
php.lang.security.taint-unsafe-echo-tag.taint-unsafe-echo-tag,gnuboard-repo/adm/contentform.php,105,105,"Found direct access to a PHP variable wihout HTML escaping inside an inline PHP statement setting data from `$_REQUEST[...]`. When untrusted input can be used to tamper with a web page rendering, it can lead to a Cross-site scripting (XSS) vulnerability. XSS vulnerabilities occur when untrusted input executes malicious JavaScript code, leading to issues such as account compromise and sensitive information leakage. To prevent this vulnerability, validate the user input, perform contextual output encoding or sanitize the input. In PHP you can encode or sanitize user input with `htmlspecialchars` or use automatic context-aware escaping with a template engine such as Latte."
php.lang.security.injection.echoed-request.echoed-request,gnuboard-repo/adm/contentform.php,109,109,`Echo`ing user input risks cross-site scripting vulnerability. You should use `htmlentities()` when showing data to users.
php.lang.security.taint-unsafe-echo-tag.taint-unsafe-echo-tag,gnuboard-repo/adm/contentform.php,109,109,"Found direct access to a PHP variable wihout HTML escaping inside an inline PHP statement setting data from `$_REQUEST[...]`. When untrusted input can be used to tamper with a web page rendering, it can lead to a Cross-site scripting (XSS) vulnerability. XSS vulnerabilities occur when untrusted input executes malicious JavaScript code, leading to issues such as account compromise and sensitive information leakage. To prevent this vulnerability, validate the user input, perform contextual output encoding or sanitize the input. In PHP you can encode or sanitize user input with `htmlspecialchars` or use automatic context-aware escaping with a template engine such as Latte."
